sección;sector;descripción;importe
1;0;RECURSOS CORRIENTES;8694283373
1;1;Ingresos Tributarios;7056991958
1;3;Ingresos No Tributarios;283640154
1;4;Venta de Bienes y Servicios de la Administ.Pública;1078351071
1;7;Transferencias Corrientes;275300190
2;0;RECURSOS DE CAPITAL;245741277
2;2;Transferencias de Capital;163385265
2;3;Disminución de la Inversión Financiera;513718
2;4;Contribuciones Figurativas p/Financ. de Capital;81842294
3;0;FUENTES FINANCIERAS;1676808037
3;1;Disminución de la Inversión Financiera;454819989
3;2;Endeudamiento Público e Increm de Otros Pasivos;1221988048
